Age_range,Industry,Job _title,Annual_salary,Additional_monetary_compensation,Annual_salary_USD,Additional_m_c_USD,Currency,Country,State,City,y_o_p_e_Overall,yo_p_e_in_Field,Highest_level_of_education,Gender
25-34,Engineering or Manufacturing,Environmental engineer,84000,2000,84000,2000,USD,USA,Illinois,Chicago,5-7 years,5-7 years,Master's degree,Woman
35-44,Education (Higher Education),Senior manager,100000,0,100000,0,USD,USA,Massachusetts,Cambridge,8 - 10 years,5-7 years,Master's degree,Other or prefer not to answer
35-44,Nonprofits,Director of Home Based Services,64500,0,64500,0,USD,USA,Minnesota,Minneapolis,8 - 10 years,8 - 10 years,College degree,Woman
35-44,Law,Counsel ,250000,30000,250000,30000,USD,USA,California,Los Angeles ,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman
55-64,Pharmaceutical Manufacturing,"Senior Specialist, Conformance",114000,22500,114000,22500,USD,USA,California,Berkeley,31 - 40 years,11 - 20 years,PhD,Woman
25-34,Education (Higher Education),Senior Costing Analyst,70040,0,70040,0,USD,USA,Tennessee,Nashville,5-7 years,2 - 4 years,Master's degree,Man
55-64,Education (Higher Education),Academic success coach,53000,0,53000,0,USD,USA,Maryland,Largo,21 - 30 years,2 - 4 years,College degree,Woman
35-44,Law,Human Resources Manager,100000,3500,100000,3500,USD,USA,Massachusetts,Boston,8 - 10 years,8 - 10 years,College degree,Woman
25-34,Law,Legal Assistant,54000,10000,54000,10000,USD,USA,Minnesota,st paul,2 - 4 years,2 - 4 years,Master's degree,Woman
25-34,Transport or Logistics,Director of Product Marketing ,170000,0,170000,0,USD,USA,Texas,Austin,8 - 10 years,8 - 10 years,Master's degree,Woman
25-34,Nonprofits,"Associate Director, Investor Relations",82200,0,82200,0,USD,USA,Massachusetts,Boston,8 - 10 years,8 - 10 years,College degree,Woman
25-34,aerospace data,Geospatial Analyst,57000,3000,57000,3000,USD,USA,Colorado,Englewood,5-7 years,2 - 4 years,Master's degree,Woman
35-44,Government and Public Administration,Security Officer,98000,3400,98000,3400,USD,USA,District of Columbia,Washington DC,11 - 20 years,8 - 10 years,College degree,Woman
25-34,Education (Higher Education),Program Director,90000,0,90000,0,USD,USA,Massachusetts,Boston,8 - 10 years,2 - 4 years,Master's degree,Woman
65 or over,Retail,Controller,120000,0,120000,0,USD,USA,California,Los Angeles,5-7 years,21 - 30 years,College degree,Woman
55-64,Health care,receptionist,31200,1860,31200,1860,USD,USA,Texas,Dallas,2 - 4 years,2 - 4 years,College degree,Woman
35-44,"Accounting, Banking & Finance",Deputy Director of Accounting,175000,53000,175000,53000,USD,USA,Georgia,Atlanta,21 - 30 years,21 - 30 years,Master's degree,Woman
25-34,Engineering or Manufacturing,Inside Sales Engineer,65000,5000,65000,5000,USD,USA,Wisconsin,Menomonee Falls,8 - 10 years,5-7 years,Master's degree,Man
25-34,Science/Research,Research Program Manager,70000,0,70000,0,USD,USA,Texas,Houston,8 - 10 years,8 - 10 years,Master's degree,Woman
45-54,Computing or Tech,Technical writer,110000,6000,110000,6000,USD,USA,Rhode Island,Johnston,21 - 30 years,21 - 30 years,College degree,Man
35-44,Education (Higher Education),Conservator ,77000,0,77000,0,USD,USA,New Jersey,Princeton,21 - 30 years,5-7 years,Master's degree,Woman
25-34,Computing or Tech,Brand Advertising Manager,100000,200000,100000,200000,USD,USA,California,San Jose,5-7 years,5-7 years,College degree,Woman
25-34,Education (Primary/Secondary),Product Manager,110000,11000,110000,11000,USD,USA,Colorado,Denver (but remote - company is NYC),11 - 20 years,11 - 20 years,Master's degree,Woman
35-44,Education (Higher Education),Faculty Coordinator,65000,0,65000,0,USD,USA,Pennsylvania,Philadelphia,8 - 10 years,11 - 20 years,College degree,Woman
25-34,Law,Associate,125000,10000,125000,10000,USD,USA,California,Los Angeles,5-7 years,5-7 years,Master's degree,Woman
25-34,Hospitality & Events,Area Director of Revenue Management,75000,15000,75000,15000,USD,USA,"Kentucky, Ohio",Payroll is out of Cincinnati,11 - 20 years,5-7 years,Some college,Woman
25-34,Social Work,Success Coach/Program Coordinator ,46000,0,46000,0,USD,USA,Texas,Waco,2 - 4 years,2 - 4 years,Master's degree,Woman
35-44,Government and Public Administration,Budget analyst,146500,0,146500,0,USD,USA,Washington,Seattle,11 - 20 years,11 - 20 years,College degree,Woman
35-44,Computing or Tech,Support Tech,35000,3500,35000,3500,USD,USA,North Carolina,Raleigh NC,2 - 4 years,1 year or less,College degree,Woman
25-34,Health care,Professional Research Assistant,50000,0,50000,0,USD,USA,Colorado,Denver,11 - 20 years,8 - 10 years,College degree,Woman
25-34,Nonprofits,Operations Coordinator,60000,0,60000,0,USD,USA,Massachusetts,Boston,8 - 10 years,8 - 10 years,Some college,Woman
25-34,Government and Public Administration,Office Services Manager,52740,0,52740,0,USD,USA,Nebraska,"Lincoln, NE",5-7 years,5-7 years,Master's degree,Woman
25-34,Computing or Tech,Software Engineer,196000,25000,196000,25000,USD,USA,California,San Francisco,5-7 years,5-7 years,College degree,Man
25-34,"Accounting, Banking & Finance","Senior Manager, Finance",140000,20000,140000,20000,USD,USA,California,Los Angeles,11 - 20 years,11 - 20 years,Master's degree,Woman
25-34,Law,legal assistant,30000,2000,30000,2000,USD,USA,Texas,Houston,8 - 10 years,2 - 4 years,College degree,Woman
25-34,Nonprofits,Senior Research Analyst,69000,0,69000,0,USD,USA,Virginia,Arlington,2 - 4 years,2 - 4 years,Master's degree,Woman
25-34,Health care,Senior Project Manager,115000,23000,115000,23000,USD,USA,Virginia,Arlington,5-7 years,5-7 years,Master's degree,Woman
25-34,Computing or Tech,Technical Writer II,70000,0,70000,0,USD,USA,Colorado,Denver,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,Education (Primary/Secondary),Middle School Teacher,52000,0,52000,0,USD,USA,California,Pasadena,2 - 4 years,2 - 4 years,College degree,Woman
25-34,Law,Patent agent,150000,15000,150000,15000,USD,USA,California,San Diego,2 - 4 years,2 - 4 years,PhD,Woman
25-34,Government and Public Administration,Librarian IV,53863,400,53863,400,USD,USA,Louisiana,Metairie,11 - 20 years,8 - 10 years,Master's degree,Woman
45-54,Law,Litigation Paralegal,105000,6000,105000,6000,USD,USA,Washington,Seattle,21 - 30 years,21 - 30 years,College degree,Woman
25-34,"Accounting, Banking & Finance",Senior Scrum Master,85000,10000,85000,10000,USD,USA,Florida,Tampa,8 - 10 years,5-7 years,College degree,Woman
45-54,Nonprofits,Program Manager & Staff Attorney,47076,500,47076,500,USD,USA,Illinois,Chicago,21 - 30 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman
45-54,Law,Attorney,167000,15000,167000,15000,USD,USA,Illinois,Chicago,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Woman
25-34,Nonprofits,Research Manager,56000,0,56000,0,USD,USA,California,Fullerton,8 - 10 years,8 - 10 years,Master's degree,Woman
45-54,Education (Higher Education),IT Services Coordinator III,60500,0,60500,0,USD,USA,Arizona,Tucson,11 - 20 years,11 - 20 years,College degree,Man
25-34,Nonprofits,Library Clerk,24000,0,24000,0,USD,USA,New York,"Hudson, NY",5-7 years,2 - 4 years,College degree,Non-binary
45-54,Government and Public Administration,Archivist,80000,0,80000,0,USD,USA,New York,Buffalo,21 - 30 years,21 - 30 years,Master's degree,Woman
25-34,Education (Higher Education),Assistant Professor,68000,0,68000,0,USD,USA,Mississippi,Starkville ,5-7 years,5-7 years,PhD,Woman
45-54,Government and Public Administration,Data Analyst,80000,0,80000,0,USD,USA,North Carolina,Asheville,21 - 30 years,2 - 4 years,PhD,Woman
35-44,Government and Public Administration,Scientist Manager,86000,0,86000,0,USD,USA,Virginia,Richmond,8 - 10 years,8 - 10 years,PhD,Man
35-44,Computing or Tech,Program Manager II,81600,35000,81600,35000,USD,USA,Massachusetts,Boston,11 - 20 years,2 - 4 years,College degree,Non-binary
35-44,Government and Public Administration,Policy analyst,133452,3752,133452,3752,USD,USA,District of Columbia,Washington DC,8 - 10 years,8 - 10 years,Master's degree,Woman
35-44,Business or Consulting,Executive Assistant,87000,1000,87000,1000,USD,USA,New York,New YOrk,11 - 20 years,11 - 20 years,College degree,Woman
35-44,Biotech/Pharma,Senior Manager Regulatory Affairs Labeling,145000,15000,145000,15000,USD,USA,Washington,Bothell,2 - 4 years,2 - 4 years,College degree,Woman
25-34,Education (Higher Education),Post-Award Research Administrator,43550,0,43550,0,USD,USA,North Carolina,Greensboro,5-7 years,2 - 4 years,College degree,Woman
25-34,Business or Consulting,VP of Development,165000,25000,165000,25000,USD,USA,Illinois,Chicago,11 - 20 years,8 - 10 years,College degree,Woman
25-34,Nonprofits,Partnerships Manager,75000,8000,75000,8000,USD,USA,"District of Columbia, Virginia",Arlington,8 - 10 years,2 - 4 years,College degree,Woman
45-54,Government and Public Administration,County Librarian,145000,0,145000,0,USD,USA,California,Rural,21 - 30 years,21 - 30 years,Master's degree,Woman
35-44,Real Estate Investment,Associate - Financial Reporting,73000,12000,73000,12000,USD,USA,Colorado,Denver,8 - 10 years,2 - 4 years,College degree,Woman
45-54,Recruitment or HR,HR systems analyst,100000,0,100000,0,USD,USA,Arizona,Phoenix,21 - 30 years,21 - 30 years,College degree,Woman
25-34,Government and Public Administration,Research Administrator,35500,1400,35500,1400,USD,USA,New York,Albany,8 - 10 years,2 - 4 years,College degree,Woman
45-54,Law,Counsel,246000,0,246000,0,USD,USA,New York,New York,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Woman
25-34,Supply chain,Material Planner,56000,0,56000,0,USD,USA,Pennsylvania,New Kensington,5-7 years,2 - 4 years,Master's degree,Woman
45-54,Computing or Tech,Senior Deliverablity Consultant,110000,220000,110000,220000,USD,USA,California,San Francisco Bay Area,21 - 30 years,11 - 20 years,Some college,Woman
45-54,Education (Primary/Secondary),Teacher + Program Coordinator,75000,3000,75000,3000,USD,USA,New York,"Rochester, NY",21 - 30 years,21 - 30 years,Master's degree,Woman
35-44,Business or Consulting,Office Manager ,80000,30000,80000,30000,USD,USA,Texas,Dallas,21 - 30 years,11 - 20 years,College degree,Woman
35-44,"Marketing, Advertising & PR","Sr Manager, Digital ",160000,50000,160000,50000,USD,USA,Arizona,Phoenix,11 - 20 years,11 - 20 years,Master's degree,Woman
65 or over,Education (Higher Education),Metadata Librarian,71000,0,71000,0,USD,USA,Virginia,Charlottesville,41 years or more,31 - 40 years,Master's degree,Woman
45-54,Computing or Tech,Production Analyst,65000,65000,65000,65000,USD,USA,Kansas,Kansas City,21 - 30 years,8 - 10 years,Master's degree,Man
25-34,Computing or Tech,Senior Data Scientist ,138000,15000,138000,15000,USD,USA,Illinois,Chicago,2 - 4 years,2 - 4 years,College degree,Woman
35-44,Public library,Librarian,43000,0,43000,0,USD,USA,Indiana,Terre Haute,2 - 4 years,2 - 4 years,Master's degree,Woman
35-44,Computing or Tech,Senior IT Consultant,114000,4000,114000,4000,USD,USA,Ohio,Toledo,11 - 20 years,11 - 20 years,Master's degree,Woman
35-44,"Accounting, Banking & Finance",Office Accountant,62400,23600,62400,23600,USD,USA,Texas,San Antonio,11 - 20 years,11 - 20 years,Some college,Woman
25-34,Engineering or Manufacturing,Senior Regulatory Affairs Specialist,100000,18000,100000,18000,USD,USA,Washington,Redmond,5-7 years,2 - 4 years,PhD,Woman
25-34,Biotech/pharma,Scientist I,109000,10000,109000,10000,USD,USA,Washington,Seattle,5-7 years,5-7 years,PhD,Woman
35-44,Health care,AP Senior Anaylst,64906,3245,64906,3245,USD,USA,California,Sacramento,11 - 20 years,11 - 20 years,College degree,Woman
45-54,"Accounting, Banking & Finance",Senior Marketing Consultant,63600,7000,63600,7000,USD,USA,Ohio,Cleveland,21 - 30 years,11 - 20 years,College degree,Woman
35-44,Business or Consulting,Vice President,92000,0,92000,0,USD,USA,Illinois,Chicago,21 - 30 years,11 - 20 years,College degree,Woman
25-34,public library,Outreach Librarian,39000,0,39000,0,USD,USA,Illinois,Roselle,11 - 20 years,8 - 10 years,College degree,Woman
35-44,Government and Public Administration,Interns and Fellows Program Administrator,87304,0,87304,0,USD,USA,District of Columbia,"Washington, DC",11 - 20 years,8 - 10 years,Master's degree,Woman
35-44,Computing or Tech,IT Program Manager,143000,0,143000,0,USD,USA,Wisconsin,Milwaukee area,11 - 20 years,8 - 10 years,Master's degree,Woman
18-24,Recruitment or HR,Human Resources Specialist ,56500,1000,56500,1000,USD,USA,District of Columbia,Washington D.C.,2 - 4 years,2 - 4 years,College degree,Woman
25-34,Education (Higher Education),Academic Advisor,49000,0,49000,0,USD,USA,Georgia,Atlanta,8 - 10 years,5-7 years,Master's degree,Woman
25-34,Nonprofits,Communications Officer,100000,0,100000,0,USD,USA,New York,"New York, NY",5-7 years,5-7 years,Master's degree,Woman
25-34,Health care,Chief Operating Officer,200000,50000,200000,50000,USD,USA,California,San Francisco,11 - 20 years,11 - 20 years,Some college,Man
25-34,technology/SaaS,Implementation Manager,87500,17000,87500,17000,USD,USA,Ohio,Columbus,8 - 10 years,5-7 years,College degree,Woman
35-44,Health care,Laboratory technician ,58000,3000,58000,3000,USD,Usa,Illinois,Chicago ,11 - 20 years,11 - 20 years,Some college,Woman
25-34,Engineering or Manufacturing,Mechanical Engineer III,114400,2500,114400,2500,USD,USA,Massachusetts,Andover,5-7 years,5-7 years,College degree,Woman
35-44,"Marketing, Advertising & PR",PPC Specialist,45000,25000,45000,25000,USD,USA,Florida,Jacksonville,11 - 20 years,11 - 20 years,Master's degree,Woman
35-44,Education (Higher Education),Research Manager,73000,0,73000,0,USD,USA,Pennsylvania,Philadelphia,2 - 4 years,2 - 4 years,PhD,Woman
35-44,Hospitality & Events,Senior Project Manager,86000,0,86000,0,USD,USA,Florida,Remote,11 - 20 years,11 - 20 years,Master's degree,Woman
25-34,Education (Higher Education),Business systems analyst,70400,0,70400,0,USD,USA,Pennsylvania,Philadelphia,5-7 years,2 - 4 years,Master's degree,Non-binary
35-44,"Accounting, Banking & Finance",Senior Compliance Analyst,85000,12000,85000,12000,USD,USA,Ohio,Cleveland,11 - 20 years,8 - 10 years,College degree,Woman
45-54,"Accounting, Banking & Finance",Senior IT Analyst,100000,7000,100000,7000,USD,USA,Georgia,Atlanta,21 - 30 years,5-7 years,College degree,Woman
25-34,Computing or Tech,Technical Writer,91000,5000,91000,5000,USD,USA,Colorado,Denver,5-7 years,5-7 years,Master's degree,Other or prefer not to answer
35-44,Education (Higher Education),librarian / senior library specialist,50800,0,50800,0,USD,USA,Illinois,Champaign,11 - 20 years,11 - 20 years,Master's degree,Woman
35-44,Computing or Tech,Director of IT,175000,5000,175000,5000,USD,USA,California,San Francisco,21 - 30 years,11 - 20 years,Some college,Man
35-44,Biotech,Senior Associate Scientist,116802,11680,116802,11680,USD,USA,Massachusetts,Cambridge,21 - 30 years,21 - 30 years,Master's degree,Woman
35-44,Education (Primary/Secondary),Instructional Coach,63000,0,63000,0,USD,USA,North Carolina,Hickory,11 - 20 years,11 - 20 years,Master's degree,Woman
35-44,Education (Higher Education),Academic Advisor,54000,4000,54000,4000,USD,USA,Delaware,New Castle,11 - 20 years,8 - 10 years,Master's degree,Woman
25-34,Engineering or Manufacturing,Senior systems engineer,100100,0,100100,0,USD,USA,Iowa,My city + industry would ID my employer,5-7 years,5-7 years,Master's degree,Woman
45-54,Law,Paralegal,80000,5000,80000,5000,USD,USA,District of Columbia,DC,21 - 30 years,21 - 30 years,Some college,Woman
25-34,"Accounting, Banking & Finance",Controlling Assistant,55000,0,55000,0,USD,USA,Indiana,Morristown,8 - 10 years,5-7 years,College degree,Woman
45-54,Libraries,Librarian,48000,0,48000,0,USD,USA,South Carolina,Spartanburg,8 - 10 years,8 - 10 years,Master's degree,Woman
25-34,Media & Digital,Associate Publicist,53000,2500,53000,2500,USD,USA,New York,New York City,5-7 years,5-7 years,College degree,Woman
35-44,Libraries,Assistant Director,44335,200,44335,200,USD,USA,Michigan,Allegan,5-7 years,5-7 years,Master's degree,Woman
35-44,Engineering or Manufacturing,Test Engineer,90000,2000,90000,2000,USD,USA,Massachusetts,Boston,11 - 20 years,11 - 20 years,College degree,Woman
45-54,Government and Public Administration,City Clerk,54250,0,54250,0,USD,USA,Kentucky,Louisville,11 - 20 years,5-7 years,Master's degree,Woman
35-44,Government and Public Administration,Attorney,156000,0,156000,0,USD,USA,California,Sacramento,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman
35-44,Computing or Tech,Director of Professional Services,150000,40000,150000,40000,USD,USA,New York,New York,11 - 20 years,11 - 20 years,College degree,Woman
45-54,Nonprofits,Collection Services Assistant Manager,72700,0,72700,0,USD,USA,Oklahoma,Oklahoma City,21 - 30 years,11 - 20 years,Master's degree,Woman
35-44,Education (Higher Education),Director of Strategy,75000,0,75000,0,USD,USA,Massachusetts,Boston,8 - 10 years,8 - 10 years,Master's degree,Woman
25-34,Law,Associate,190000,20000,190000,20000,USD,USA,California,San Francisco,2 - 4 years,1 year or less,"Professional degree (MD, JD, etc.)",Woman
35-44,Computing or Tech,Senior HRIS Analyst,123250,12325,123250,12325,USD,USA,Colorado,Denver,11 - 20 years,5-7 years,College degree,Non-binary
25-34,Business or Consulting,Sr. Implementation manager,155000,0,155000,0,USD,USA,Wisconsin,Remote,5-7 years,5-7 years,College degree,Woman
35-44,Computing or Tech,VP Product,135000,10000,135000,10000,USD,USA,Massachusetts,Boston,11 - 20 years,11 - 20 years,Master's degree,Woman
45-54,Manufacturing,Environmental Coordinator,100000,10000,100000,10000,USD,USA,California,"Not identifying, but the Central Valley, CA",21 - 30 years,8 - 10 years,College degree,Woman
35-44,"Accounting, Banking & Finance",VP / Portfolio Manager,125000,12500,125000,12500,USD,USA,California,Irvine,11 - 20 years,11 - 20 years,College degree,Woman
35-44,Computing or Tech,Senior Network Engineer,120000,15000,120000,15000,USD,USA,Illinois,Chicago,21 - 30 years,11 - 20 years,College degree,Man
35-44,Nonprofits,Programs Coordinator,38000,6000,38000,6000,USD,USA,Texas,Houston,11 - 20 years,2 - 4 years,Master's degree,Woman
55-64,Education (Higher Education),Benefits Compliance Officer,114000,0,114000,0,USD,USA,Massachusetts,Boston,31 - 40 years,31 - 40 years,College degree,Woman
25-34,Agriculture or Forestry,Senior Accountant,69470,6947,69470,6947,USD,USA,Utah,Salt Lake City,8 - 10 years,5-7 years,College degree,Man
25-34,Business or Consulting,Sr. Marketing Cloud Consultant,130000,6000,130000,6000,USD,USA,California,San Jose,8 - 10 years,2 - 4 years,Master's degree,Woman
35-44,Computing or Tech,Project Manager,82000,0,82000,0,USD,USA,Nevada,Reno,11 - 20 years,5-7 years,College degree,Woman
35-44,Health care,Senior Research Associate II,87000,8000,87000,8000,USD,USA,Washington,Seattle,11 - 20 years,11 - 20 years,Master's degree,Woman
35-44,Education (Higher Education),Head librarian,68500,0,68500,0,USD,USA,California,San Francisco,5-7 years,5-7 years,Master's degree,Man
35-44,Education (Higher Education),Assistant Professor,140000,0,140000,0,USD,USA,Maryland,Annapolis,11 - 20 years,8 - 10 years,PhD,Woman
25-34,Nonprofits,Claims Processor 2,46698,6200,46698,6200,USD,USA,Minnesota,Minneapolis suburbs,8 - 10 years,5-7 years,College degree,Woman
35-44,Librarian,"Digital Initiatives Archivist, Senior",66703,0,66703,0,USD,USA,Florida,Ft. Lauderdale,11 - 20 years,11 - 20 years,Master's degree,Woman
35-44,Social Work,Care manager,47000,200,47000,200,USD,USA,Pennsylvania,Philadelphia ,11 - 20 years,8 - 10 years,Master's degree,Woman
35-44,Computing or Tech,Director,165000,0,165000,0,USD,USA,Minnesota,Remote,11 - 20 years,11 - 20 years,Master's degree,Woman
25-34,Nonprofits,Operations Manager,40000,0,40000,0,USD,USA,Massachusetts,Boston,5-7 years,5-7 years,Master's degree,Woman
35-44,Insurance,Underwriting supervisor,80000,10000,80000,10000,USD,USA,Oklahoma,Tulsa,11 - 20 years,11 - 20 years,Master's degree,Man
35-44,Entertainment,Editor,43000,1000,43000,1000,USD,USA,Maine,Portland,11 - 20 years,5-7 years,College degree,Woman
55-64,Computing or Tech,Enterprise Solutions Architect,149000,35000,149000,35000,USD,USA,California,Irvine,21 - 30 years,21 - 30 years,College degree,Man
45-54,Utilities & Telecommunications,Principal Business Manager ,122577,15339,122577,15339,USD,USA,Missouri,St Louis,11 - 20 years,11 - 20 years,College degree,Woman
under 18,Education (Primary/Secondary),Teacher,45000,1200,45000,1200,USD,USA,South Carolina,Greenville,21 - 30 years,2 - 4 years,Master's degree,Woman
25-34,Recruitment or HR,HR Business Partner,125000,0,125000,0,USD,USA,North Carolina,Raleigh,11 - 20 years,8 - 10 years,Master's degree,Woman
25-34,Computing or Tech,Senior Software Engineer,72000,6000,72000,6000,USD,USA,Michigan,Lansing,5-7 years,5-7 years,College degree,Woman
25-34,Law,Senior Assistant Attorney General,76000,0,76000,0,USD,USA,Ohio,Columbus,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman
35-44,Law,Production Specialist,49005,10000,49005,10000,USD,USA,Tennessee,Nashville,11 - 20 years,8 - 10 years,College degree,Woman
25-34,Nonprofits,Special Events Manager ,48068,500,48068,500,USD,USA,Maine,Portland,8 - 10 years,8 - 10 years,College degree,Woman
25-34,Computing or Tech,Data Scientist,87000,5000,87000,5000,USD,USA,Utah,Salt Lake City,2 - 4 years,2 - 4 years,Master's degree,Woman
25-34,Hospitality & Events,Marketing Specialist,40040,250,40040,250,USD,USA,Iowa,Cedar Rapids,5-7 years,5-7 years,College degree,Woman
35-44,Law,Law Librarian,95000,3000,95000,3000,USD,USA,District of Columbia,Washington,11 - 20 years,11 - 20 years,Master's degree,Woman
35-44,Health care,Sr. HR Business Partner,101000,1500,101000,1500,USD,USA,Oregon,Medford ,11 - 20 years,11 - 20 years,Master's degree,Woman
25-34,Public Library,Electronic Resources/Emerging Technologies Librarian,54511,0,54511,0,USD,USA,South Carolina,prefer not to answer,5-7 years,2 - 4 years,Master's degree,Woman
45-54,Computing or Tech,Marketing and Sales,62400,0,62400,0,USD,USA,Connecticut,Remote,11 - 20 years,11 - 20 years,High School,Woman
45-54,Nonprofits,Executive Assistant,31200,0,31200,0,USD,USA,Washington,Olympia,11 - 20 years,11 - 20 years,College degree,Woman
45-54,Public Library,Systemwide Products Director,98500,0,98500,0,USD,USA,Oklahoma,Tulsa,21 - 30 years,21 - 30 years,Master's degree,Woman
25-34,Law,Legal assistant ,50000,1000,50000,1000,USD,USA,Pennsylvania,Philadelphia,5-7 years,2 - 4 years,Master's degree,Woman
25-34,Research,Scientist,84000,8400,84000,8400,USD,USA,Colorado,Denver,2 - 4 years,2 - 4 years,PhD,Woman
25-34,Education (Primary/Secondary),Tutoring Center Manager,55000,10000,55000,10000,USD,USA,Texas,Dallas,2 - 4 years,2 - 4 years,College degree,Woman
45-54,Research and Development,Director,129000,36000,129000,36000,USD,USA,Minnesota,Minneapolis,8 - 10 years,11 - 20 years,PhD,Woman
35-44,Nonprofits,Operations Manager,47000,0,47000,0,USD,USA,Maryland,Silver Spring,8 - 10 years,5-7 years,Master's degree,Woman
25-34,"Marketing, Advertising & PR",Senior Public Relations & Public Affairs Specialist and Account Manager,61000,0,61000,0,USD,USA,Illinois,Chicago,5-7 years,5-7 years,College degree,Woman
25-34,Nonprofits,Project Coordinator,63000,0,63000,0,USD,USA,Washington,Seattle,8 - 10 years,5-7 years,College degree,Woman
25-34,Government and Public Administration,Program Coordinator,72467,0,72467,0,USD,USA,Massachusetts,Wakefield,11 - 20 years,8 - 10 years,College degree,Woman
25-34,Government and Public Administration,Analyst ,81000,0,81000,0,USD,USA,California,Oakland ,5-7 years,2 - 4 years,Master's degree,Woman
25-34,"Accounting, Banking & Finance",Client Service Manager,66000,2000,66000,2000,USD,USA,Illinois,Schaumburg ,8 - 10 years,5-7 years,College degree,Woman
25-34,Media & Digital,Production Manager,60000,6000,60000,6000,USD,USA,Massachusetts,Boston,8 - 10 years,8 - 10 years,Master's degree,Woman
25-34,Art & Design,Intermediate Architectural Designer,70000,5000,70000,5000,USD,USA,California,Los Angeles,2 - 4 years,2 - 4 years,Master's degree,Woman
25-34,Business or Consulting,Consultant,71000,6000,71000,6000,USD,USA,Ohio,Cincinnati,8 - 10 years,8 - 10 years,Master's degree,Woman
55-64,"Accounting, Banking & Finance",Retail bank teller,45654,2000,45654,2000,USD,USA,Arizona,Scottsdale ,31 - 40 years,31 - 40 years,College degree,Woman
35-44,Education (Primary/Secondary),Teacher,101441,17752,101441,17752,USD,USA,New York,New York,11 - 20 years,11 - 20 years,Master's degree,Woman
35-44,Health care,Physical Therapist,112000,0,112000,0,USD,USA,California,Oxnard,8 - 10 years,8 - 10 years,Master's degree,Woman
25-34,Law,Firm Administrator,100000,30000,100000,30000,USD,USA,Texas,Austin,11 - 20 years,11 - 20 years,College degree,Woman
35-44,Education (Higher Education),Associate Professor,150000,0,150000,0,USD,USA,Maryland,Annapolis,8 - 10 years,5-7 years,PhD,Woman
35-44,Nonprofits,Program Manager,55000,0,55000,0,USD,USA,Virginia,"Chantilly, VA",11 - 20 years,11 - 20 years,Some college,Woman
35-44,Transport or Logistics,Department Supervisor,64000,0,64000,0,USD,USA,Tennessee,Greater Nashville Area,11 - 20 years,11 - 20 years,Master's degree,Woman
25-34,Nonprofits,"Senior Administrator, International Programs",72000,6000,72000,6000,USD,USA,Virginia,Alexandria,8 - 10 years,5-7 years,College degree,Woman
25-34,Engineering or Manufacturing,Mechanical Engineer II,77000,0,77000,0,USD,USA,New Mexico,Albuquerqur,5-7 years,5-7 years,Master's degree,Woman
25-34,"Accounting, Banking & Finance",Supervisor,60000,2000,60000,2000,USD,USA,Florida,Bonita Springs,11 - 20 years,5-7 years,College degree,Woman
25-34,Nonprofits,Human Resources Director,70000,0,70000,0,USD,USA,Minnesota,Minneapolis,11 - 20 years,5-7 years,College degree,Woman
35-44,Engineering or Manufacturing,Associate Principal Scientist Lead,140000,20000,140000,20000,USD,USA,New Hampshire,This identifies my employer,11 - 20 years,11 - 20 years,Master's degree,Woman
25-34,Recruitment or HR,Payroll & Benefits Specialist,66189,8000,66189,8000,USD,USA,Michigan,Grand Rapids,8 - 10 years,5-7 years,College degree,Woman
25-34,Education (Higher Education),Assistant Professor,60000,3000,60000,3000,USD,USA,Maryland,Baltimore County,5-7 years,5-7 years,PhD,Woman
18-24,Insurance,Licensed Sales Professional,31200,300,31200,300,USD,USA,Oklahoma,Altus,2 - 4 years,2 - 4 years,College degree,Woman
25-34,Media & Digital,Data Analyst,100000,0,100000,0,USD,USA,New York,NYC,5-7 years,2 - 4 years,Master's degree,Woman
55-64,"Accounting, Banking & Finance",Tax Manager,90000,0,90000,0,USD,USA,Colorado,Louisville,5-7 years,8 - 10 years,College degree,Woman
25-34,Education (Higher Education),Registration coordinator,28000,0,28000,0,USD,USA,Kansas,Wichita,5-7 years,5-7 years,College degree,Woman
25-34,Education (Higher Education),Communications and Marketing Assistant,29473,0,29473,0,USD,USA,Virginia,Harrisonburg,2 - 4 years,2 - 4 years,College degree,Woman
25-34,"Marketing, Advertising & PR",Account Executive/Office Manager,53000,0,53000,0,USD,USA,New York,New York City,2 - 4 years,2 - 4 years,College degree,Woman
25-34,"Accounting, Banking & Finance",CPA,50000,13000,50000,13000,USD,USA,Michigan,Holland,5-7 years,5-7 years,College degree,Woman
18-24,Nonprofits,Grants Manager,46000,0,46000,0,USD,USA,Wisconsin,Milwaukee,2 - 4 years,1 year or less,College degree,Woman
35-44,Property or Construction,Fire Alarm Designer,80000,4000,80000,4000,USD,USA,California,Santa Rosa,11 - 20 years,11 - 20 years,College degree,Man
25-34,Computing or Tech,Technical Writer,75000,4000,75000,4000,USD,USA,Wisconsin,Madison,5-7 years,2 - 4 years,College degree,Woman
